Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
1,4,0.0,507.077694235589,342.35839598997495,164.71929824561403,0.6762903683506368,0.3237096316493625,0.02966404711968414,14731.464869157262,14263.393264689921,117.31720947303174,6903.947952622742,153.79943258079192,16213.078529657483,1663.0785296574763,6835.617462722482,47.46956571335053,3.2798496243322846,4.87218373332087,0.60974337884885,0.39025662115114956,0.0941271319620349,0.9764682170094918,0.6482778252831061,4.599890387095369,1.0056275832538473,0.7666483978492289,0.10056275832538467,0.07127910445485605,1.0,0.0
1,5,0.0,508.83959899749374,412.2105263157895,96.62907268170426,0.8110646333582848,0.18893536664171443,0.03932250677871857,11969.4755174657,11501.476375974984,117.33174297544711,4119.210289278697,208.11923863531734,19446.766917293222,3296.7669172932365,6804.148327690586,47.25103005340687,6.471847002056047,8.009598684681627,0.5314057329585358,0.4685942670414641,0.31609159260400754,0.936781681479199,0.6234286854808386,3.6175759290506657,1.0254881810636878,0.6029293215084435,0.10254881810636876,0.08913412121563302,1.0,0.0
1,6,0.0,508.8295739348371,455.5864661654135,53.24310776942356,0.8961067899150668,0.10389321008493348,0.060782237733153915,10231.079841234947,9761.94933476309,118.46755476701904,2296.0638463194637,249.57428404911042,21641.586257309904,3891.586257309937,6846.3472588697805,47.5440781865957,7.620628675176079,8.533575453236104,0.48299677842805805,0.5170032215719418,0.7870723268685607,0.8688212788552401,0.6119111356651675,2.6441969116078035,1.0444496430611072,0.4406994852679662,0.10444496430611068,0.10118634186449507,1.0,0.0
1,7,0.0,508.280701754386,478.62907268170426,29.651629072681704,0.9421202560974649,0.05787974390253591,0.0879368930728154,9046.831683593431,8579.242004237734,117.20883921282035,1086.6753380976215,280.9096924155422,22734.213659147874,3384.2136591478697,6841.645304247248,47.51142572393922,6.603104268139841,7.031589413760576,0.45753583717841667,0.542464162821583,1.5238084393801874,0.782313080088544,0.6043083806639756,1.858095108874015,1.0631994589939378,0.309682518145669,0.10631994589939386,0.10738802653791382,1.0,0.0
1,8,0.0,509.35839598997495,488.0952380952381,21.263157894736842,0.9585504514310842,0.04144954856891516,0.11639878488106623,8439.873914380363,7971.290346421893,118.11154861336868,476.87444744522213,304.2203257000174,23115.48663324977,2165.48663324979,6820.048734676756,47.361449546366366,4.17747291342735,4.369738714935813,0.4470822097139679,0.5529177902860322,2.4301123787679026,0.6962359526540123,0.6020665858620997,1.4341093011144073,1.0774183154428385,0.23901821685240107,0.10774183154428374,0.11253245726034396,1.0,0.0
1,9,0.0,508.56641604010025,490.280701754386,18.285714285714285,0.9642362832755063,0.03576371672449403,0.12800519423349918,8153.219707792885,7684.942141119038,117.53818807104314,189.65520615909796,312.11057376760044,23197.064536340862,647.0645363408524,6813.107534856799,47.313246769838926,1.189541180943129,1.2399773634835396,0.4444716707560122,0.5555283292439881,3.409997316865418,0.621111409237176,0.6005590938550173,1.2309964240374984,1.0824057572699624,0.20516607067291634,0.10824057572699626,0.1129965770804886,1.0,0.0
1,10,0.0,510.7218045112782,492.83458646616543,17.887218045112782,0.9651271922934879,0.03487280770651164,0.13238011575975475,8069.286459292841,7600.283984855544,118.41019502917986,75.90067215199592,318.1506234759815,23399.17293233081,-750.8270676691732,6836.185216273007,47.473508446340354,-1.5614312409376374,-1.61252565612303,0.4418981777027903,0.5581018222972096,4.363750099435043,0.5636249900564958,0.6035863551127365,1.1515971068699233,1.0865758410117161,0.19193285114498707,0.1086575841011716,0.11459731012595983,1.0,0.0
2,4,0.0,507.7518796992481,343.9323308270677,163.81954887218046,0.6787250961128771,0.32127490388712276,0.025264281253996223,14849.709379558435,14443.799018437292,55.43485493995303,7244.033686257826,10.972463212172476,16250.586883876364,550.5868838763579,6818.844579704449,47.3530873590587,1.0802780671122851,1.6085219348353612,1.6080334052271432,0.19598329738642906,0.08641400512514535,0.9783964987187143,0.6083612105885506,4.776981107493557,0.989274487867718,0.796163517915592,0.09892744878677177,0.00864560843483914,1.0,0.0
2,5,0.0,507.62406015037595,413.70426065162906,93.91979949874687,0.8159884262397281,0.18401157376027213,0.027347309976266214,12150.283994358258,11759.111298615602,40.58246490166909,4538.9259703845055,13.94737181680957,19613.16416040101,2313.1641604010015,6836.4025901168625,47.475017986922666,4.546911159023794,5.600369192699793,1.529706413266759,0.23514679336662025,0.2774078537204394,0.9445184292559123,0.5659722084414349,3.8826579461565704,0.9901992107990735,0.6471096576927626,0.09901992107990745,0.010490672123424203,1.0,0.0
2,6,0.0,507.70676691729324,463.9348370927318,43.771929824561404,0.914614686147186,0.0853853138528141,0.02908912550911905,10135.479721158203,9757.655537118704,27.409414859097247,2549.617023144769,16.53276746844944,21959.406850459505,3059.4068504594825,6821.582785146167,47.37210267462617,5.993985887262359,6.581817785390193,1.473778962218818,0.26311051889059117,0.7125600951501215,0.8812399841416462,0.5293616935711545,2.8512471529788264,0.990936247484677,0.4752078588298047,0.09909362474846771,0.011224840966649672,1.0,0.0
2,7,0.0,510.0250626566416,492.4561403508772,17.56892230576441,0.9659930511724076,0.03400694882759211,0.05524464591362906,8896.974459890058,8524.853743056783,21.05030391945315,1325.4586867307062,18.231956011760523,23281.300125313282,2781.3001253132843,6811.166071154696,47.29976438301873,5.396356964086067,5.6106888588210735,1.441519912423584,0.2792400437882077,1.3936979223440285,0.8009002968079958,0.5140100730128473,2.0587983724548544,0.9914085370331923,0.34313306207580857,0.0991408537033192,0.012396061204511621,1.0,0.0
2,8,0.0,508.6666666666667,502.1378446115288,6.528822055137844,0.9873769981730239,0.012623001826975788,0.09476065896618076,8225.650262186826,7857.10848691781,17.5781651903507,636.7934523266764,19.631808619813274,23813.285296574773,1713.2852965747725,6830.886086724835,47.436708935589074,3.287859121395847,3.3420042421974423,1.4313287545374076,0.2843356227312968,2.2696265923006447,0.7162966759624199,0.5056011516402336,1.5624281390333474,0.9923253418460218,0.2604046898388909,0.09923253418460208,0.012936301814110443,1.0,0.0
2,9,0.0,509.21303258145366,506.859649122807,2.3533834586466167,0.9954652804986329,0.004534719501366489,0.13231538229326825,7869.895227591024,7502.859998193326,16.32221606026279,291.5553110130322,19.970145447410307,24010.29135338345,310.2913533834596,6821.258766025648,47.369852541844786,0.5153403230796187,0.523498525427122,1.425982232936166,0.2870088835319171,3.2179694201174955,0.6424478422091668,0.501633892169738,1.3074628959377628,0.9925867274116721,0.2179104826562937,0.09925867274116719,0.01262798415120366,1.0,0.0
2,10,0.0,508.34586466165416,507.3809523809524,0.9649122807017544,0.9981326727670935,0.0018673272329062403,0.21859410430839002,7678.295809483249,7311.780273594366,15.628168338378876,116.76561987501482,20.251317174710945,23975.126357560577,-1324.8736424394338,6804.634057622416,47.25440317793342,-2.7155174865030043,-2.718427552820257,1.4252739981330196,0.2873630009334902,4.227747210010689,0.5772252789989312,0.501830774080572,1.1749409305280938,0.992142356337802,0.19582348842134895,0.09921423563378015,0.012964821392055882,1.0,0.0
3,4,0.0,505.25062656641603,344.31328320802004,160.937343358396,0.6825267554427471,0.3174732445572519,0.02363319254370954,14806.137727150768,14407.310856550446,47.96124090069516,7224.197663914021,0.7027525330033849,16252.28592314119,-597.714076858814,6812.431068785926,47.308549088791075,-1.1906100609933508,-1.739316069459243,2.6074103915739575,0.1308632028086811,0.08741029117506038,0.9781474272062344,0.6014436456533128,4.767267468748086,0.9889640612603869,0.7945445781246809,0.09889640612603857,6.345349565702442E-4,1.0,0.0
3,5,0.0,506.12280701754383,414.1979949874687,91.92481203007519,0.8195043667940299,0.1804956332059698,0.024398011846211588,12048.59009842066,11668.267639746458,29.805899792997064,4482.590894082737,1.1457823145158774,19571.662489557224,1121.6624895572259,6814.604807070182,47.32364449354292,2.1998211319951597,2.711442979364285,2.5291878635145597,0.15693737882848,0.2870819720320245,0.942583605593595,0.5562785069837685,3.8512245558402265,0.9896087285787306,0.641870759306704,0.09896087285787308,9.918540784671279E-4,1.0,0.0
3,6,0.0,508.187969924812,463.36842105263156,44.81954887218045,0.912576798478566,0.08742320152143436,0.02746778452930153,10188.820047508265,9821.433281422225,16.70543770266874,2610.3988964880714,1.4422579778914177,21988.80116959063,1938.8011695906434,6839.682166916421,47.49779282580854,3.7850575805922553,4.171830985831936,2.4740874520286815,0.1753041826571066,0.7046989264071553,0.8825501789321402,0.5230304429634992,2.89117103974819,0.9897715241166922,0.4818618399580316,0.09897715241166909,0.0012002654176134493,1.0,0.0
3,7,0.0,509.38345864661653,491.8220551378446,17.56140350877193,0.9659197507870478,0.03408024921295237,0.029401735155417195,8881.851037455319,8522.762604072434,8.564839836011974,1329.3897557102498,1.695757727380642,23289.197994987473,1639.197994987469,6821.641948271336,47.37251352966207,3.1586862943944296,3.288919237927137,2.442476199543525,0.18584126681882487,1.3902128790745543,0.801398160132206,0.5043007125319626,2.0637616442450364,0.9899010268321793,0.3439602740408393,0.09899010268321803,0.0013374732359637065,1.0,0.0
3,8,0.0,508.9749373433584,502.48370927318297,6.491228070175438,0.9874147151329843,0.012585284867015531,0.03208741359481903,8202.713162379152,7847.059679270875,4.776865045463732,651.0025077563051,1.947057512366933,23809.69820384295,559.69820384294,6824.0581009857315,47.3892923679565,1.0215751242614723,1.0450454300849572,2.43053525837831,0.18982158054056206,2.26653915735281,0.7166826053308993,0.4944506887285451,1.5722805586377409,0.9900735863624011,0.26204675977295705,0.09900735863624015,0.0014279548639264767,1.0,0.0
