Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
1,5,0.0,506.7967967967968,410.46146146146145,96.33533533533533,0.8110611706036955,0.18893882939630519,0.03755452752124273,11995.115936599123,11527.735268217315,116.764191562033,4123.878352080513,206.65935014758867,19433.306639973285,3283.306639973308,6827.176805282629,47.41095003668493,6.468612091631098,8.009657678190626,0.5334126132374771,0.46658738676252287,0.31993727402847955,0.9360125451943039,0.8201080292700679,3.1071414493029943,0.14065669485782667,0.5178569082171665,0.014065669485782663,0.08839945781162334,1.0,0.0
1,6,0.0,509.07107107107106,456.22622622622623,52.84484484484484,0.8970140637934857,0.10298593620651475,0.05688802793627558,10170.37675625528,9702.54217400095,117.2811798195383,2253.7287983684014,251.81591121771672,21613.224057390707,3863.224057390724,6826.904450349783,47.409058682984636,7.558363310277397,8.455206185967864,0.4823247433818714,0.5176752566181284,0.7933657303082217,0.8677723782819636,0.7962768012906286,2.022669665165541,0.19056019176430095,0.3371116108609233,0.019056019176430065,0.10114871117254756,1.0,0.0
1,7,0.0,508.92792792792795,479.2482482482483,29.67967967967968,0.9421328124495438,0.057867187550456764,0.08909069262861927,9001.21764463875,8532.757040147813,117.71157851901599,1070.8742035401704,282.18549291402314,22655.34409409407,3305.344094094096,6809.661810869394,47.28931813103747,6.4405072061303885,6.856120848052632,0.4567063832678041,0.5432936167321957,1.5426735714781237,0.7796180612174106,0.785599320207521,1.1746721191200442,0.22445811777624067,0.19577868652000727,0.022445811777624107,0.10748483042926424,1.0,0.0
2,5,0.0,506.4134134134134,413.83483483483485,92.57857857857857,0.8183304570678107,0.18166954293218965,0.026270076945978167,12101.527455652778,11711.228203356668,39.64329016202777,4502.787897102058,14.031789300248704,19584.182932932934,2284.182932932935,6824.369887889952,47.39145755479136,4.497495906615498,5.527204891797613,1.5294179898044067,0.23529100509779738,0.2829419558228126,0.9434116088354367,0.7681888699081337,3.3953985387825205,0.009624098906131839,0.5658997564637538,9.624098906131816E-4,0.010233210691638947,1.0,0.0
2,6,0.0,508.0940940940941,464.0950950950951,43.998998998999,0.9141984280010168,0.08580157199898376,0.03287809502868949,10146.117480423361,9767.450787100464,28.066083413376187,2559.9868289391648,16.746608571065657,21962.231398064727,3062.2313980647323,6820.677814180848,47.365818154033676,5.994819466011406,6.587140946836004,1.4733667521843505,0.263316623907825,0.711736202214407,0.8813772996309319,0.7231009154332633,2.296003082320305,0.012886515396804092,0.38266718038671677,0.0012886515396804109,0.011681851356805354,1.0,0.0
2,7,0.0,507.955955955956,490.3583583583584,17.5975975975976,0.9658071309015765,0.034192869098424165,0.04823879410926205,8890.584940159915,8519.107095685325,20.871022941069622,1314.4864912146813,18.31112694899829,23201.75967634301,2701.7596763430092,6816.371987901839,47.335916582651656,5.261970213661277,5.469010174784366,1.4442932131603934,0.27785339341980314,1.4126683230848844,0.7981902395593018,0.6979186833053461,1.4027438474914722,0.014890748806514274,0.23379064124857868,0.0014890748806514265,0.01230141867209199,1.0,0.0
1,5,0.0,508.5975975975976,401.5725725725726,107.02502502502503,0.7906210284376078,0.20937897156239277,0.03567896629535135,11385.485262707465,10917.13689585585,117.66746057345402,3626.189428574662,91.35590442688978,19023.05305305305,2873.0530530530555,6829.6093125260595,47.427842448097564,5.6332920890321905,7.161066436690118,0.5437158677518948,0.45628413224810577,0.4183504865230204,0.9163299026953959,0.837330636659631,2.704933710306867,0.060732118387908984,0.4508222850511445,0.006073211838790889,0.07025465931136063,0.0,1.0
1,6,0.0,508.58358358358356,435.84384384384384,72.73973973973973,0.8577318933492132,0.14226810665078715,0.04477852035423969,9531.868417918335,9063.696930601604,117.458167747926,1769.612692095177,104.00080467992235,20630.782032032028,2880.7820320320343,6820.1045364112615,47.361837058411595,5.626693540879222,6.5876045014881255,0.5057403293359809,0.49425967066401927,1.0329625856180609,0.8278395690636562,0.8175897933567854,1.5785876800404761,0.07502331066475208,0.2630979466734124,0.0075023310664752135,0.0777200989067994,0.0,1.0
1,7,0.0,508.79479479479477,449.4824824824825,59.312312312312315,0.883853717614971,0.11614628238502867,0.05121413045391361,8516.23203831857,8048.42515954503,117.33911679106417,758.5984065595087,111.51868946270822,21246.87395729064,1896.8739572906225,6808.293965708197,47.27981920630685,3.6818455809809927,4.178886977163018,0.49071591906543693,0.5092840809345631,1.8805257347440423,0.7313534664651362,0.8103701821650183,0.8652449548755666,0.08298690959435642,0.144207492479261,0.008298690959435638,0.08135743606244687,0.0,1.0
2,5,0.0,506.33533533533534,413.8008008008008,92.53453453453453,0.8184833660989533,0.18151663390104728,0.0269696300816066,12080.898517884201,11689.140740158564,41.143444050362525,4476.289300216605,10.614533573058866,19603.018018018003,2303.0180180180178,6832.25183088799,47.44619327005543,4.53629928487262,5.575229076756355,1.5296068438206272,0.23519657808968636,0.28109174913355994,0.9437816501732881,0.7722535046520199,3.373344987975468,0.007275733893626865,0.5622241646625776,7.275733893626864E-4,0.009874675425764293,0.0,1.0
