Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
1,4,0.0,506.3612040133779,341.66889632107024,164.69230769230768,0.676079722724073,0.32392027727592665,0.029258654273759545,14699.568031072367,14231.191759800464,117.68539627151519,6867.572213195913,153.261077698397,16188.6858974359,1638.6858974358981,6840.28284517784,47.50196420262383,3.2327335122543164,4.814420244162379,0.6105849335389436,0.38941506646105634,0.09918775632344842,0.9752030609191379,0.8630289107345404,4.16321910425177,0.08688527205589656,0.6938698507086284,0.008688527205589661,0.07069928175801009,1.0,0.0
1,5,0.0,507.83277591973246,410.428093645485,97.40468227424749,0.8094281706486371,0.19057182935136305,0.03942601977629343,12006.135181830232,11539.329022924581,116.46024998236001,4128.579216528385,205.89135531651982,19453.056020066902,3303.05602006689,6834.8978609137985,47.46456847856803,6.495380885491752,8.059433449138899,0.5336128083863882,0.46638719161361203,0.3137576775230353,0.9372484644953928,0.8196085734027323,3.10964644796373,0.14014012811876492,0.5182744079939553,0.014014012811876482,0.08808188420221909,1.0,0.0
1,6,0.0,508.314381270903,456.26421404682276,52.05016722408027,0.8984564963019669,0.10154350369803285,0.05942006105941464,10131.955073767935,9663.54406573761,117.7157441168385,2235.219743279248,252.74636844958084,21551.807413600887,3801.8074136008927,6805.629942757898,47.26131904692982,7.4491451013278995,8.318641578897392,0.48197348544951363,0.5180265145504862,0.8065967536698142,0.8655672077216982,0.7975031754778609,2.0146342120950638,0.1912282905372462,0.33577236868251087,0.019122829053724623,0.10180092525956283,1.0,0.0
1,7,0.0,507.571906354515,478.4581939799331,29.11371237458194,0.9430062444394783,0.056993755560521414,0.08776478523233427,9017.893457153792,8549.785746181413,117.21545755971971,1070.6079285163887,287.4604912904322,22656.28623188404,3306.28623188406,6821.782460205753,47.373489306984425,6.460523259856919,6.869228093973128,0.45738927001849067,0.5426107299815092,1.5384443100159637,0.7802222414262912,0.7836483644255764,1.1729857284350733,0.22834126387023934,0.19549762140584548,0.02283412638702394,0.10941871120842273,1.0,0.0
1,8,0.0,510.70234113712377,488.86622073578593,21.836120401337794,0.9575265506625642,0.04247344933743574,0.11159728013043463,8462.280638626939,7993.1673471493905,118.50182578037123,494.3809944638711,305.56190667983356,23160.943422519504,2210.943422519508,6823.20685104047,47.38338091000323,4.266200470152767,4.468406439829579,0.4461662105896249,0.5538337894103752,2.4193699321167044,0.6975787584854114,0.78241811091422,0.7237936360570094,0.2479026652388122,0.12063227267616829,0.024790266523881208,0.11224907891078009,1.0,0.0
1,9,0.0,507.60535117056855,489.68896321070235,17.91638795986622,0.9648926362304966,0.03510736376950332,0.13306377144650505,8146.436518212243,7679.168391401244,116.40729782865917,184.82250663593854,306.93677341163146,23179.948439241936,629.9484392419185,6817.459503383911,47.34346877349941,1.175332125671884,1.2243868541773977,0.44504187007280327,0.5549581299271968,3.4135995534319945,0.6207111607297784,0.777784064183289,0.4708848538888725,0.24955372485249278,0.07848080898147874,0.024955372485249306,0.11149553286623301,1.0,0.0
1,10,0.0,507.44147157190633,489.98327759197326,17.45819397993311,0.96572742480161,0.03427257519838925,0.12949334971062168,8041.335969765236,7573.5949458138375,117.27429940540684,74.77229482805403,316.80005176893286,23179.16248606467,-970.837513935341,6812.002068194791,47.30556991801937,-1.9976330779096456,-2.06603174915768,0.44533675480069945,0.5546632451993007,4.417882032380765,0.5582117967619237,0.7786553916912295,0.37900089650817076,0.25799991874416356,0.06316681608469508,0.025799991874416336,0.11231139058498728,1.0,0.0
2,4,0.0,508.72240802675583,341.7157190635451,167.0066889632107,0.6729204068450767,0.32707959315492346,0.024889522217898852,15026.094198466957,14618.293957199687,57.17645835103242,7367.295598670775,10.946949078737836,16267.573857302108,567.5738573021191,6870.250828013303,47.71007519453684,1.1123350916395358,1.6658762292696903,1.6104623184456681,0.1947688407771659,0.08338503041786108,0.9791537423955354,0.8389392627175658,4.44627918341969,0.006197584423691997,0.7410465305699478,6.197584423691992E-4,0.008859195581805127,1.0,0.0
2,5,0.0,509.12040133779266,413.494983277592,95.62541806020067,0.8132157947372054,0.18678420526279435,0.026183826818982237,12199.61410453516,11808.689457746184,40.46196269004333,4568.807734669909,14.636340584607842,19656.96767001117,2356.967670011146,6855.3333120489,47.606481333672896,4.618974386134985,5.707438715252807,1.5300069409929167,0.23499652950354183,0.26711478165015573,0.9465770436699693,0.7733225899771469,3.438295008381228,0.010029329244928864,0.5730491680635379,0.0010029329244928863,0.010730971279203989,1.0,0.0
2,6,0.0,509.1170568561873,465.24749163879596,43.869565217391305,0.9146464521130911,0.08535354788690835,0.028098178614130342,10074.553007179384,9695.47492431499,28.384199780124224,2524.1638679900693,17.042609673180653,21903.057413600876,3003.0574136008922,6784.18948730735,47.11242699518988,5.86051775573931,6.439030499471206,1.471860696541046,0.2640696517294773,0.723865876300326,0.8793556872832791,0.7223320804791129,2.2764238486867807,0.013145312248335778,0.3794039747811303,0.0013145312248335778,0.011950934914690415,1.0,0.0
